PID,ISB,Strecke_Nummer,Strecke_Bezeichnung,Strecke_Art,BP_Von_Abschnitt,BP_Von_Abschnitt_Bezeichnung,BP_Bis_Abschnitt,BP_Bis_Abschnitt_Bezeichnung,Anzahl_Zuege,gdname,gd_ident,didok,KOORDZ,KOORDY,KOORDX,Reiner Betriebspunkt,TU Nummer,Bedienpunkt Cargo,land,Haltestelle,Gde Nummer,gdnr,TU Abkuerzung,Tarifhaltestelle,geopos_von,geopos_bis
SBB_RANS_RTRH,SBB,23,Löchligut - Zollikofen - Burgdorf - Olten,STRECKE,RANS,Rank (Spw),RTRH,Rothrist GB,50713,Murgenthal,Ident,15731,406,631304.18,237721.02,*,11,None,Switzerland,None,4279,4279,SBB CFF FFS,None,"7.8524539818, 47.2896376388","7.85697383324, 47.2951175974"
SBB_RTRH_RTR,SBB,23,Löchligut - Zollikofen - Burgdorf - Olten,STRECKE,RTRH,Rothrist GB,RTR,Rothrist,50715,Rothrist,Ident,16698,406.2,631642.84,238332.08,None,11,*,Switzerland,None,4282,4282,SBB CFF FFS,None,"7.85697383324, 47.2951175974","7.87938349612, 47.3064376019"
SBB_ZOL_ZOLW,SBB,23,Löchligut - Zollikofen - Burgdorf - Olten,STRECKE,ZOL,Zollikofen,ZOLW,Zollikofen West (Spw),84416,Zollikofen,div,4410,560.2,601846.39,205640.68,None,11,*,Switzerland,*,546,361,SBB CFF FFS,None,"7.46290939477, 47.0018185653","7.4646394178, 46.9929585701"
SBB_OST_GUE,SBB,24,Wankdorf - Thun,STRECKE,OST,Ostermundigen,GUE,Gümligen,122172,Ostermundigen,Ident,7002,558.3,603262.16,200635.27,None,11,*,Switzerland,*,363,363,SBB CFF FFS,None,"7.48148953239, 46.9567889781","7.50550910506, 46.9343094993"
SBB_UTI_THAB,SBB,24,Wankdorf - Thun,STRECKE,UTI,Uttigen,THAB,Thun (Abzw),80127,Uttigen,Ident,7009,545.1,610992.97,182580.64,None,11,*,Switzerland,*,885,885,SBB CFF FFS,None,"7.58262030331, 46.7943005867","7.62122072613, 46.7601307124"
SBB_WKD_OST,SBB,24,Wankdorf - Thun,STRECKE,WKD,Wankdorf (Abzw),OST,Ostermundigen,125581,Bern,Ident,7044,550.1,602550.07,201583.19,None,11,*,Switzerland,None,351,351,SBB CFF FFS,None,"7.47213960999, 46.9653187069","7.48148953239, 46.9567889781"
SBB_STDG_IS,SBB,25,Visp - Brig - Iselle,STRECKE,STDG,Staz. della Galleria Sempione,IS,Iselle di Trasquera,27294,Ried-Brig,Ident,1642,2734,650481.43,124757.04,*,11,None,Switzerland,None,6008,6008,SBB CFF FFS,None,"8.0935038068, 46.272343279","8.20705543304, 46.2070138482"
SBB_VI_GAMS,SBB,25,Visp - Brig - Iselle,STRECKE,VI,Visp,GAMS,Gamsen SBB,70233,Visp,Ident,1605,650.8,634121.65,127052.71,None,11,*,Switzerland,*,6297,6297,SBB CFF FFS,None,"7.88145360168, 46.2940222682","7.94027319597, 46.3038619962"
SBB_BACH_TI,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,BACH,Bachtele (Trimstein),TI,Tägertschi,41242,Münsingen,Ident,16278,627.4,610527.38,194230.26,*,11,None,Switzerland,None,616,616,SBB CFF FFS,None,"7.57678910359, 46.899099965","7.58083927257, 46.8822800747"
SBB_DOPP_WH,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,DOPP,Doppleschwand-Romoos,WH,Wolhusen,26789,Doppleschwand,div,8214,611.5,647814.71,208770.05,*,11,None,Switzerland,None,1002,1001,SBB CFF FFS,None,"8.06764219849, 47.028249758","8.07974188791, 47.055479584"
